Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,0.015000,0.015000,0.013000,0.013000,0.013000,0
2014-09-18,0.013000,0.013000,0.007000,0.010000,0.010000,0
2014-09-19,0.010000,0.010000,0.005000,0.007000,0.007000,0
2014-09-21,null,null,null,null,null,null
2014-09-22,0.007000,0.010000,0.003000,0.003000,0.003000,0
2014-09-23,0.005000,0.007000,0.005000,0.007000,0.007000,0
2014-09-24,0.005000,0.010000,0.005000,0.007000,0.007000,0
2014-09-25,0.007000,0.007000,0.003000,0.005000,0.005000,0
2014-09-26,0.003000,0.007000,0.003000,0.005000,0.005000,0
2014-09-28,null,null,null,null,null,null
2014-09-29,0.003000,0.005000,0.003000,0.005000,0.005000,0
2014-09-30,0.010000,0.022000,0.010000,0.013000,0.013000,0
2014-10-01,0.015000,0.015000,0.010000,0.013000,0.013000,0
2014-10-02,0.010000,0.010000,0.007000,0.010000,0.010000,0
2014-10-03,0.010000,0.015000,0.007000,0.010000,0.010000,0
2014-10-05,null,null,null,null,null,null
2014-10-06,0.010000,0.010000,0.007000,0.010000,0.010000,0
2014-10-07,0.010000,0.010000,0.007000,0.010000,0.010000,0
2014-10-08,0.007000,0.010000,0.003000,0.005000,0.005000,0
2014-10-09,0.003000,0.010000,0.003000,0.005000,0.005000,0
2014-10-10,0.005000,0.005000,0.003000,0.005000,0.005000,0
2014-10-12,null,null,null,null,null,null
2014-10-13,0.005000,0.005000,0.005000,0.005000,0.005000,0
2014-10-14,0.003000,0.005000,0.003000,0.005000,0.005000,0
2014-10-15,0.010000,0.010000,0.007000,0.010000,0.010000,0
2014-10-16,0.013000,0.020000,0.013000,0.020000,0.020000,0
2014-10-17,0.020000,0.022000,0.020000,0.022000,0.022000,0
2014-10-19,null,null,null,null,null,null
2014-10-20,0.020000,0.020000,0.018000,0.020000,0.020000,0
2014-10-21,0.018000,0.018000,0.018000,0.018000,0.018000,0
2014-10-22,0.020000,0.020000,0.015000,0.015000,0.015000,0
2014-10-23,0.015000,0.015000,0.003000,0.015000,0.015000,0
2014-10-24,0.015000,0.015000,0.003000,0.005000,0.005000,0
2014-10-26,null,null,null,null,null,null
2014-10-27,0.005000,0.007000,0.005000,0.005000,0.005000,0
2014-10-28,0.015000,0.015000,0.015000,0.015000,0.015000,0
2014-10-29,0.015000,0.015000,0.010000,0.015000,0.015000,0
2014-10-30,0.005000,0.005000,0.003000,0.003000,0.003000,0
2014-10-31,0.003000,0.003000,0.003000,0.003000,0.003000,0
2014-11-02,null,null,null,null,null,null
2014-11-03,0.003000,0.003000,0.003000,0.003000,0.003000,0
2014-11-04,0.013000,0.022000,0.013000,0.022000,0.022000,0
2014-11-05,0.022000,0.025000,0.020000,0.020000,0.020000,0
2014-11-06,0.020000,0.020000,0.015000,0.018000,0.018000,0
2014-11-07,0.018000,0.020000,0.015000,0.018000,0.018000,0
